student_id,province,region_group,user_type,staple_tags,taste_tags,food_keywords,service_tags,normalized_staple_tags,normalized_taste_tags,normalized_food_tags,normalized_service_tags,preference_tags,budget_min,budget_max,waiting_tolerance_minutes,breakfast_arrival_minute,lunch_arrival_minute,dinner_arrival_minute
BJTU2025-BJ-038,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,23,6,33,27,58
BJTU2025-BJ-039,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,26,11,44,26,48
BJTU2025-BJ-040,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,15,16,49,34,41
BJTU2025-BJ-041,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,19,14,48,49,29
BJTU2025-BJ-042,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,25,14,38,44,39
BJTU2025-BJ-043,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,20,16,51,46,74
BJTU2025-BJ-044,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,25,4,27,48,55
BJTU2025-BJ-045,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,28,10,43,37,51
BJTU2025-BJ-046,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,16,29,4,47,32,61
BJTU2025-BJ-047,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,17,18,57,34,35
BJTU2025-BJ-048,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,24,9,48,39,22
BJTU2025-BJ-049,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,21,13,43,47,43
BJTU2025-BJ-050,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,20,8,54,34,51
BJTU2025-BJ-051,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,21,14,49,35,20
BJTU2025-BJ-052,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,25,8,42,49,42
BJTU2025-BJ-053,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,20,11,53,61,48
BJTU2025-BJ-054,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,26,15,32,38,29
BJTU2025-BJ-055,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,20,13,30,23,63
BJTU2025-BJ-056,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,7,16,12,49,36,30
BJTU2025-BJ-057,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,23,11,27,45,46
BJTU2025-BJ-058,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,21,12,36,31,54
BJTU2025-BJ-059,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,28,9,40,34,39
BJTU2025-BJ-060,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,19,15,48,26,48
BJTU2025-BJ-061,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,25,16,36,38,35
BJTU2025-BJ-062,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,25,9,39,52,45
BJTU2025-BJ-063,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,23,9,44,76,35
BJTU2025-BJ-064,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,27,12,52,21,42
BJTU2025-BJ-065,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,18,8,52,47,52
BJTU2025-BJ-066,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,19,16,47,42,58
BJTU2025-BJ-067,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,8,17,18,22,36,29
BJTU2025-BJ-068,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,24,16,50,41,30
BJTU2025-BJ-069,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,27,14,22,30,78
BJTU2025-BJ-070,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,28,6,5,41,17
BJTU2025-BJ-071,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,23,12,40,26,51
BJTU2025-BJ-072,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,23,15,28,27,20
BJTU2025-BJ-073,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,28,5,43,55,52
BJTU2025-BJ-074,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,26,15,21,38,37
BJTU2025-BJ-075,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,17,32,6,34,23,65
BJTU2025-BJ-076,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,28,8,40,62,70
BJTU2025-BJ-077,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,24,11,40,61,64
BJTU2025-BJ-078,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,26,16,43,44,66
BJTU2025-BJ-079,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,24,13,41,36,56
BJTU2025-BJ-080,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,23,12,28,44,45
BJTU2025-BJ-081,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,15,25,7,23,40,47
BJTU2025-BJ-082,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,21,8,59,40,66
BJTU2025-BJ-083,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,17,33,6,32,46,41
BJTU2025-BJ-084,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,8,14,16,41,36,45
