window_id,source_window_code,restaurant_id,restaurant_name,name,category,recommended_meal_period,open_hours,taste_tags,staple_tags,audience_tags,friendly_tags,normalized_taste_tags,normalized_staple_tags,normalized_audience_tags,normalized_friendly_tags,matching_tags,price_min,price_max,service_rate_per_minute,popularity,status
11,W011,3,清真餐厅,新疆拌面大盘鸡窗口,新疆风味,LUNCH,11:00-13:00,孜然|微辣,面食|米饭,新疆|甘肃|宁夏|青海同学,清真友好,牛羊肉|辣味,面食|米饭,新疆|甘肃|宁夏|青海同学,清真,牛羊肉|辣味|面食|米饭|新疆|甘肃|宁夏|青海同学|清真|新疆风味,16.0,32.0,1.46,0.77,OPEN
12,W012,3,清真餐厅,清真盖饭小炒窗口,盖饭/小炒,LUNCH,11:00-13:00,咸鲜|酱香,米饭,清真需求|日常快餐人群,清真友好,咸鲜|家常,米饭,清真|快餐,清真,咸鲜|家常|米饭|清真|快餐|小炒,12.0,22.0,2.07,0.71,OPEN
13,W013,3,清真餐厅,民族风味早餐档,早餐/小吃,BREAKFAST,07:00-09:00,奶香|咸香,面食|奶制品,清真需求|西北同学,清真友好,甜口|奶制品|咸鲜,面食|奶制品,清真|西北同学,清真,甜口|奶制品|咸鲜|面食|清真|西北同学|早餐|快餐,5.0,14.0,2.59,0.7,OPEN
14,W014,4,西式快餐厅,炸鸡汉堡窗口,西式快餐,ALL,10:00-21:00,酥香|咸香,面包|薯类,赶课学生|运动后补给,大众友好,酥香|咸鲜,面食|薯类,赶课学生|运动后补给,大众,酥香|咸鲜|面食|薯类|赶课学生|运动后补给|大众|快餐|炸鸡汉堡窗口,16.0,32.0,2.03,0.72,OPEN
15,W015,4,西式快餐厅,意面牛排窗口,西餐主食,LUNCH,10:00-21:00（连续营业）,番茄|黑椒|奶香,面食,西餐偏好|聚餐小组,可少辣,番茄|黑椒|甜口|奶制品,面食,西餐偏好|聚餐小组,可调辣,番茄|黑椒|甜口|奶制品|面食|西餐偏好|聚餐小组|可调辣|西餐主食,18.0,38.0,1.47,0.64,OPEN
16,W016,4,西式快餐厅,水果土豆泥沙拉窗口,轻食/水果,ALL,10:00-21:00,清爽|低负担,杂粮|蔬果,减脂|晚间轻量|南方清淡偏好,轻食友好|素食可选,清淡|健康,杂粮|蔬果,减脂|晚间轻量|清淡,轻食|健康|素食,清淡|健康|杂粮|蔬果|减脂|晚间轻量|轻食|素食,12.0,28.0,1.31,0.71,OPEN
17,W017,4,西式快餐厅,咖啡能量补给窗口,咖啡/饮品,ALL,10:00-21:00,微苦|奶香,饮品,自习|通勤|下午茶,素食可选,微苦|甜口|奶制品,饮品,自习|通勤|下午茶,素食,微苦|甜口|奶制品|饮品|自习|通勤|下午茶|素食,8.0,24.0,2.55,0.59,OPEN
18,W018,5,学四一层,实惠早餐窗口,早餐/基本伙,BREAKFAST,07:00-09:00,家常|咸鲜,面食|粥,嘉园公寓|东南角宿舍学生,大众友好,家常|咸鲜,面食|粥,嘉园公寓|东南角宿舍学生,大众,家常|咸鲜|面食|粥|嘉园公寓|东南角宿舍学生|大众|早餐|基本伙,4.0,10.0,2.65,0.58,OPEN
19,W019,5,学四一层,家常自选菜窗口,基本伙打菜,LUNCH,11:00-13:00,咸鲜|家常,米饭,全体学生,素食友好|可半份,咸鲜|家常,米饭,全体学生,素食|小份,咸鲜|家常|米饭|全体学生|素食|小份|快餐,8.0,18.0,2.13,0.81,OPEN
20,W020,5,学四一层,炒饭炒面窗口,快餐主食,DINNER,17:00-19:00,酱香|微辣,米饭|面食,晚课学生|赶时间人群,可选不辣,家常|辣味,米饭|面食,晚课学生|赶时间人群,可调辣,家常|辣味|米饭|面食|晚课学生|赶时间人群|可调辣|快餐,10.0,18.0,2.11,0.74,OPEN
21,W021,5,学四一层,营养蒸菜窗口,蒸菜/低油,LUNCH,11:00-13:00,清淡|少油,米饭,减脂|清淡偏好|南方同学,少油少盐|素食可选,清淡|健康,米饭,减脂|清淡|南方同学,健康|素食,清淡|健康|米饭|减脂|南方同学|素食|蒸菜|营养蒸菜窗口,12.0,24.0,1.37,0.61,OPEN
22,W022,6,学四风味餐厅,麻辣香锅窗口,香锅,LUNCH,07:00-13:30（早午餐）,麻辣|香辣,米饭,川渝湘鄂|重口味人群,辣度可调,辣味,米饭,川渝湘鄂|重口味人群,辣味|可调辣,辣味|米饭|川渝湘鄂|重口味人群|可调辣|香锅,18.0,35.0,0.94,0.74,OPEN
23,W023,6,学四风味餐厅,重庆烤鱼窗口,烤鱼/聚餐,DINNER,17:00-19:30,麻辣|豆豉|蒜香,米饭,聚餐|川渝湘赣同学,辣度可调,辣味|豆豉|家常,米饭,聚餐|川渝湘赣同学,辣味|可调辣,辣味|豆豉|家常|米饭|聚餐|川渝湘赣同学|可调辣|烤鱼|重庆烤鱼窗口,28.0,55.0,0.9,0.87,OPEN
24,W024,6,学四风味餐厅,东北铁锅炖窗口,东北菜,DINNER,17:00-19:30,咸鲜|酱香,米饭|饼,东北|华北同学,大众友好,咸鲜|家常,米饭|面食,东北|华北同学,大众,咸鲜|家常|米饭|面食|东北|华北同学|大众|东北菜|东北铁锅炖窗口,18.0,36.0,1.27,0.76,OPEN
25,W025,6,学四风味餐厅,酸菜鱼小份窗口,酸菜鱼/米饭,LUNCH,07:00-13:30（早午餐）,酸辣|鲜香,米饭,川渝|贵州|湖南|江西同学,辣度可调,辣味|酸香|清淡,米饭,川渝|贵州|湖南|江西同学,辣味|可调辣,辣味|酸香|清淡|米饭|川渝|贵州|湖南|江西同学|可调辣,18.0,30.0,1.19,0.73,OPEN
26,W026,7,留园餐厅,少油少盐健康窗口,健康餐/自选菜,LUNCH,11:00-13:00,清淡|低盐,米饭,教职工|控油控盐人群,少油少盐|素食可选,清淡|健康,米饭,教职工|控油控盐人群,健康|素食,清淡|健康|米饭|教职工|控油控盐人群|素食|健康餐|快餐,12.0,26.0,2.09,0.85,OPEN
27,W027,7,留园餐厅,半份菜节俭窗口,自选菜,ALL,早餐 07:00-09:00；午餐 11:00-13:00；晚餐 17:00-19:00,家常|咸鲜,米饭,小食量|避免浪费人群,可半份|素食可选,家常|咸鲜,米饭,小食量|避免浪费人群,小份|素食,家常|咸鲜|米饭|小食量|避免浪费人群|小份|素食|快餐,6.0,16.0,2.1,0.58,OPEN
28,W028,7,留园餐厅,教师套餐窗口,套餐/简餐,LUNCH,11:00-13:00,均衡|家常,米饭,教职工|会议午餐,少油可选,健康|家常,米饭,教职工|会议午餐,健康,健康|家常|米饭|教职工|会议午餐|套餐|简餐|教师套餐窗口,18.0,35.0,1.97,0.59,OPEN
29,W029,7,留园餐厅,南北风味小炒窗口,风味小炒,DINNER,17:00-19:00,咸鲜|微辣,米饭,跨区域口味需求,大众友好,咸鲜|辣味,米饭,跨区域口味需求,大众,咸鲜|辣味|米饭|跨区域口味需求|大众|风味小炒|南北风味小炒窗口,16.0,32.0,0.92,0.58,OPEN
30,W030,8,学生一餐厅,鲜肉馄饨窗口,馄饨/汤品,BREAKFAST,07:00-09:00,鲜香|清淡,面食,江浙沪|北方清淡需求,清淡友好,清淡,面食,江浙沪|清淡,清淡,清淡|面食|江浙沪|馄饨|汤类|鲜肉馄饨窗口,8.0,16.0,1.5,0.72,OPEN
31,W031,8,学生一餐厅,涮羊肉小锅窗口,小火锅/羊肉,DINNER,17:00-19:00,鲜香|蘸料可调,米饭|面,北方|西北|冬季需求,清真需另设专锅,清淡|蘸料可调,米饭|面食,北方|西北|冬季需求,清真,清淡|蘸料可调|米饭|面食|北方|西北|冬季需求|清真|辣味|牛羊肉,22.0,45.0,1.22,0.76,OPEN
32,W032,8,学生一餐厅,锅包鱼片窗口,东北/创新菜,LUNCH,11:00-13:00,酸甜|咸鲜,米饭,东北|华北|女生偏好,大众友好,酸甜|咸鲜,米饭,东北|华北|女生偏好,大众,酸甜|咸鲜|米饭|东北|华北|女生偏好|大众|创新菜|锅包鱼片窗口,14.0,28.0,1.38,0.84,OPEN
33,W033,8,学生一餐厅,木须荷兰豆素菜窗口,家常素菜,LUNCH,11:00-13:00,清爽|家常,米饭,素食|清淡|江浙沪皖同学,素食友好,清淡|家常,米饭,素食|清淡|江浙沪皖同学,素食,清淡|家常|米饭|素食|江浙沪皖同学|木须荷兰豆素菜窗口,8.0,18.0,1.39,0.78,OPEN
34,W034,9,东快餐厅,明湖烤鸭饭窗口,烤鸭/盖饭,LUNCH,10:00-14:00,酱香|咸甜,米饭,北京|河北|山东|全体学生,大众友好,家常|咸甜,米饭,北京|河北|山东|全体学生,大众,家常|咸甜|米饭|北京|河北|山东|全体学生|大众|烤鸭|明湖烤鸭饭窗口,16.0,30.0,1.97,0.64,OPEN
35,W035,9,东快餐厅,烤肉拌饭窗口,烤肉/快餐,LUNCH,10:00-14:00,孜然|酱香,米饭,东北|华北|赶课学生,大众友好,牛羊肉|家常,米饭,东北|华北|赶课学生,大众,牛羊肉|家常|米饭|东北|华北|赶课学生|大众|烤肉|快餐|烤肉拌饭窗口,15.0,25.0,2.15,0.88,OPEN
36,W036,9,东快餐厅,麻辣烫麻辣拌窗口,麻辣烫/麻辣拌,DINNER,16:30-20:30,麻辣|酸甜辣,粉面|米饭,川渝湘鄂|重口味人群,辣度可调,辣味|酸香|甜口,面食|粉面|米饭,川渝湘鄂|重口味人群,辣味|可调辣,辣味|酸香|甜口|面食|粉面|米饭|川渝湘鄂|重口味人群|可调辣,12.0,28.0,1.38,0.67,OPEN
37,W037,9,东快餐厅,分米鸡窗口,韩式/焖鸡,DINNER,16:30-20:30,甜辣|酱香,米饭,聚餐|女生宿舍区,可选微辣,辣味|甜口|家常,米饭,聚餐|女生宿舍区,可调辣,辣味|甜口|家常|米饭|聚餐|女生宿舍区|可调辣|韩式|焖鸡|分米鸡窗口,22.0,45.0,1.28,0.67,OPEN
38,W038,9,东快餐厅,奶茶甜点窗口,饮品/甜点,ALL,晚餐至20:30,甜香|奶香,甜品,下午茶|自习人群,甜品|轻食友好,甜口|奶制品,甜口,下午茶|自习人群,甜口|轻食|健康,甜口|奶制品|下午茶|自习人群|轻食|健康|饮品|甜点,8.0,24.0,2.64,0.68,OPEN
39,W039,10,明湖餐厅,海南鸡饭窗口,海南/东南亚风味,LUNCH,10:30-13:30,清鲜|姜葱,米饭,海南|广东|广西|清淡偏好,清淡友好,清淡|姜葱,米饭,海南|广东|广西|清淡,清淡,清淡|姜葱|米饭|海南|广东|广西|东南亚风味|海南鸡饭窗口,16.0,30.0,1.26,0.7,OPEN
40,W040,10,明湖餐厅,广式烧腊饭窗口,粤式烧腊,LUNCH,10:30-13:30,咸甜|鲜香,米饭,粤桂琼|江浙沪|华南同学,大众友好,咸甜|清淡,米饭,粤桂琼|江浙沪|华南同学,大众,咸甜|清淡|米饭|粤桂琼|江浙沪|华南同学|大众|粤式烧腊|广式烧腊饭窗口,16.0,32.0,0.91,0.61,OPEN
41,W041,10,明湖餐厅,重庆小面窗口,小面/川渝,DINNER,16:00-20:00,麻辣|红油,面食,川渝|湖南|湖北|贵州同学,辣度可调,辣味,面食,川渝|湖南|湖北|贵州同学,辣味|可调辣,辣味|面食|川渝|湖南|湖北|贵州同学|可调辣|粉面,10.0,20.0,1.57,0.9,OPEN
42,W042,10,明湖餐厅,江浙汤面小炒窗口,汤面/小炒,LUNCH,10:30-13:30,清淡|鲜甜,米饭|面食,江浙沪皖闽赣同学,清淡友好,清淡|甜口,米饭|面食,江浙沪皖闽赣同学,清淡,清淡|甜口|米饭|面食|江浙沪皖闽赣同学|汤类|小炒,14.0,28.0,1.56,0.73,OPEN
43,W043,11,教工餐厅,教工早餐窗口,早餐套餐,BREAKFAST,07:00-09:00,家常|清淡,面食|粥,教职工|早到学生,少油可选,家常|清淡,面食|粥,教职工|早到学生,健康,家常|清淡|面食|粥|教职工|早到学生|健康|早餐,5.0,12.0,2.58,0.72,OPEN
44,W044,11,教工餐厅,商务简餐窗口,套餐,LUNCH,11:00-13:00,均衡|家常,米饭,教职工|访客,少油少盐可选,健康|家常,米饭,教职工|访客,健康,健康|家常|米饭|教职工|访客|套餐|商务简餐窗口,18.0,35.0,1.94,0.85,OPEN
45,W045,11,教工餐厅,健康低盐窗口,健康餐,LUNCH,11:00-13:00,清淡|低盐,杂粮饭,控油控盐人群,少油少盐,清淡|健康,杂粮|米饭,控油控盐人群,健康,清淡|健康|杂粮|米饭|控油控盐人群|健康餐,16.0,32.0,1.23,0.74,OPEN
46,W046,11,教工餐厅,时令小炒窗口,小炒,DINNER,17:00-19:00,家常|咸鲜,米饭,教职工|晚间值班人群,大众友好,家常|咸鲜,米饭,教职工|晚间值班人群,大众,家常|咸鲜|米饭|教职工|晚间值班人群|大众|小炒|时令小炒窗口,16.0,36.0,0.98,0.8,OPEN
47,W047,12,东区大伙餐厅,东区包点粥铺,早餐,BREAKFAST,07:00-09:00,家常|咸鲜,面食|粥,东校区学生,大众友好,家常|咸鲜,面食|粥,东校区学生,大众,家常|咸鲜|面食|粥|东校区学生|大众|早餐,4.0,10.0,2.64,0.69,OPEN
48,W048,12,东区大伙餐厅,东区大众打菜,基本伙,LUNCH,11:00-13:00,家常|咸鲜,米饭,东校区学生,素食可选,家常|咸鲜,米饭,东校区学生,素食,家常|咸鲜|米饭|东校区学生|素食|基本伙|快餐,8.0,18.0,2.05,0.59,OPEN
49,W049,12,东区大伙餐厅,面条米线窗口,面食/米线,LUNCH,11:00-13:00,清汤|酸辣可选,面食|米线,北方和西南学生,辣度可调,清淡|汤类|辣味|酸香,面食|粉面,北方和西南学生,辣味|可调辣,清淡|汤类|辣味|酸香|面食|粉面|北方和西南学生|可调辣,9.0,18.0,1.59,0.68,OPEN
50,W050,12,东区大伙餐厅,盖饭快餐窗口,盖饭,DINNER,17:00-19:00,酱香|家常,米饭,晚课学生|外带需求,大众友好,家常,米饭,晚课学生|外带需求,大众,家常|米饭|晚课学生|外带需求|大众|快餐,12.0,22.0,2.12,0.68,OPEN
51,W051,13,东区中快餐厅,冒菜麻辣烫窗口,冒菜/麻辣烫,DINNER,16:00-19:30,麻辣|番茄可选,粉面|米饭,川渝湘鄂学生,辣度可调,辣味|番茄可选,面食|粉面|米饭,川渝湘鄂学生,辣味|可调辣,辣味|番茄可选|面食|粉面|米饭|川渝湘鄂学生|可调辣|冒菜,12.0,28.0,1.09,0.88,OPEN
52,W052,13,东区中快餐厅,黄焖鸡米饭窗口,焖饭/盖饭,LUNCH,11:00-13:30,酱香|微辣,米饭,全体学生,可选不辣,家常|辣味,米饭,全体学生,可调辣,家常|辣味|米饭|全体学生|可调辣|焖饭,14.0,24.0,2.12,0.77,OPEN
53,W053,13,东区中快餐厅,陕西面食窗口,西北面食,LUNCH,11:00-13:30,油泼|酸辣,面食,陕西|山西|甘肃|宁夏同学,辣度可调,辣味|面食|酸香,面食,陕西|山西|甘肃|宁夏同学,辣味|可调辣,辣味|面食|酸香|陕西|山西|甘肃|宁夏同学|可调辣,10.0,22.0,1.54,0.63,OPEN
54,W054,13,东区中快餐厅,日韩简餐窗口,异国简餐,DINNER,16:00-19:30,甜辣|酱香,米饭|面,年轻学生|聚餐,可选不辣,辣味|甜口|家常,米饭|面食,年轻学生|聚餐,可调辣,辣味|甜口|家常|米饭|面食|年轻学生|聚餐|可调辣|异国简餐|日韩简餐窗口,18.0,34.0,1.27,0.72,OPEN
55,W055,14,东区清真餐厅,清真牛肉面窗口,清真面食,ALL,早餐 07:00-09:00；午餐 11:00-13:00；晚餐 17:00-19:00,咸鲜|清汤,面食,清真需求|西北学生,清真友好,咸鲜|清淡|汤类,面食,清真|西北学生,清真,咸鲜|清淡|汤类|面食|清真|西北学生|牛羊肉,10.0,18.0,1.53,0.69,OPEN
56,W056,14,东区清真餐厅,清真烩饭窗口,烩饭/盖饭,LUNCH,11:00-13:00,咸鲜|酱香,米饭,清真需求|东区学生,清真友好,咸鲜|家常,米饭,清真|东区学生,清真,咸鲜|家常|米饭|清真|东区学生|烩饭,13.0,24.0,2.09,0.64,OPEN
57,W057,14,东区清真餐厅,羊肉泡馍窗口,西北汤食,DINNER,17:00-19:00,鲜香|孜然,面食,陕西|宁夏|甘肃|青海同学,清真友好,清淡|牛羊肉,面食,陕西|宁夏|甘肃|青海同学,清真,清淡|牛羊肉|面食|陕西|宁夏|甘肃|青海同学|清真|汤类,16.0,30.0,1.22,0.76,OPEN
58,W058,14,东区清真餐厅,西北烤肉窗口,烤肉/盖饭,DINNER,17:00-19:00,孜然|香辣,米饭|馕,西北学生|夜间改善,清真友好,牛羊肉|辣味,米饭|面食,西北学生|夜间改善,清真,牛羊肉|辣味|米饭|面食|西北学生|夜间改善|清真|烤肉|西北烤肉窗口,18.0,38.0,2.02,0.64,OPEN
59,W059,15,学苑美食厅,基础自选菜窗口,基本伙,LUNCH,11:00-13:00,家常|咸鲜,米饭,学苑住宿学生,素食可选,家常|咸鲜,米饭,学苑住宿学生,素食,家常|咸鲜|米饭|学苑住宿学生|素食|基本伙|快餐,8.0,18.0,2.05,0.6,OPEN
60,W060,15,学苑美食厅,煎饼灌饼早餐档,早餐饼类,BREAKFAST,07:00-09:00,咸香|酱香,面食,赶早八学生|北方同学,大众友好,咸鲜|家常,面食,赶早八学生|北方同学,大众,咸鲜|家常|面食|赶早八学生|北方同学|大众|早餐,6.0,13.0,2.65,0.58,OPEN
61,W061,15,学苑美食厅,水饺馄饨窗口,饺子/馄饨,DINNER,17:00-19:00,鲜香|清淡,面食,北方|江浙沪清淡需求,清淡友好,清淡,面食,北方|清淡,清淡,清淡|面食|北方|饺子|馄饨|水饺馄饨窗口,9.0,18.0,1.58,0.79,OPEN
62,W062,15,学苑美食厅,盖饭套餐窗口,盖饭/快餐,LUNCH,11:00-13:00,酱香|家常,米饭,全体学生,大众友好,家常,米饭,全体学生,大众,家常|米饭|全体学生|大众|快餐,12.0,24.0,2.06,0.88,OPEN
63,W063,16,学苑风味厅,川湘小炒窗口,川湘菜,DINNER,17:00-20:00,香辣|麻辣,米饭,四川|重庆|湖南|湖北|贵州同学,辣度可调,辣味,米饭,四川|重庆|湖南|湖北|贵州同学,辣味|可调辣,辣味|米饭|四川|重庆|湖南|湖北|贵州同学|可调辣|川湘菜|川湘小炒窗口,16.0,32.0,0.92,0.91,OPEN
64,W064,16,学苑风味厅,广式烧腊窗口,粤式快餐,LUNCH,11:00-13:30,咸甜|鲜香,米饭,广东|广西|海南|华东同学,大众友好,咸甜|清淡,米饭,广东|广西|海南|华东同学,大众,咸甜|清淡|米饭|广东|广西|海南|华东同学|大众|快餐|广式烧腊窗口,16.0,30.0,2.0,0.7,OPEN
65,W065,16,学苑风味厅,云南米线窗口,米线/粉,LUNCH,11:00-13:30,酸辣|菌香,米线,云南|贵州|广西|湖南同学,可选不辣,辣味|酸香|菌香,粉面,云南|贵州|广西|湖南同学,可调辣,辣味|酸香|菌香|粉面|云南|贵州|广西|湖南同学|可调辣,13.0,24.0,1.51,0.64,OPEN
66,W066,16,学苑风味厅,东北盒饭窗口,东北菜/盒饭,DINNER,17:00-20:00,咸鲜|酱香,米饭,东北|华北同学,大众友好,咸鲜|家常,米饭,东北|华北同学,大众,咸鲜|家常|米饭|东北|华北同学|大众|东北菜|盒饭|东北盒饭窗口,14.0,26.0,1.32,0.6,OPEN
67,W067,17,学苑清真厅,清真拉面窗口,清真面食,ALL,早餐 07:00-09:00；午餐 11:00-13:00；晚餐 17:00-19:00,咸鲜|清汤,面食,清真需求|西北学生,清真友好,咸鲜|清淡|汤类,面食,清真|西北学生,清真,咸鲜|清淡|汤类|面食|清真|西北学生,10.0,18.0,1.59,0.62,OPEN
68,W068,17,学苑清真厅,新疆炒米粉窗口,新疆风味,LUNCH,11:00-13:00,香辣|酱香,米粉,新疆|宁夏|甘肃及重口味人群,清真友好|辣度可调,辣味|家常,粉面,新疆|宁夏|甘肃及重口味人群,清真|辣味|可调辣,辣味|家常|粉面|新疆|宁夏|甘肃及重口味人群|清真|可调辣|新疆风味,16.0,28.0,1.58,0.88,OPEN
69,W069,17,学苑清真厅,羊杂汤窗口,汤食/早餐,BREAKFAST,07:00-09:00,鲜香|胡椒,面食|汤,清真需求|冬季早餐,清真友好,清淡|胡椒,面食|汤类,清真|早餐,清真,清淡|胡椒|面食|汤类|清真|早餐,10.0,20.0,2.58,0.81,OPEN
70,W070,17,学苑清真厅,清真小碗菜窗口,小碗菜,LUNCH,11:00-13:00,家常|咸鲜,米饭,清真需求|小份量人群,清真友好|可半份,家常|咸鲜,米饭,清真|小份量人群,清真|小份,家常|咸鲜|米饭|清真|小份量人群|小份|小碗菜,8.0,20.0,1.59,0.56,OPEN
71,W071,18,学苑西餐厅,汉堡薯条窗口,西式快餐,LUNCH,10:00-13:30,酥香|咸香,面包|薯类,赶课|聚餐|外带需求,大众友好,酥香|咸鲜,面食|薯类,赶课|聚餐|外带需求,大众,酥香|咸鲜|面食|薯类|赶课|聚餐|外带需求|大众|快餐|汉堡薯条窗口,16.0,32.0,1.99,0.66,OPEN
72,W072,18,学苑西餐厅,披萨意面窗口,西餐主食,DINNER,17:00-20:00,芝士|番茄|黑椒,面食,改善餐|聚餐,可选不辣,芝士|番茄|黑椒,面食,改善餐|聚餐,可调辣,芝士|番茄|黑椒|面食|改善餐|聚餐|可调辣|西餐主食,20.0,45.0,1.4,0.64,OPEN
73,W073,18,学苑西餐厅,健康沙拉窗口,轻食,LUNCH,10:00-13:30,清爽|低油,杂粮|蔬果,减脂|南方清淡偏好,轻食友好|素食可选,清淡|健康,杂粮|蔬果,减脂|清淡,轻食|健康|素食,清淡|健康|杂粮|蔬果|减脂|轻食|素食,16.0,32.0,1.23,0.78,OPEN
74,W074,18,学苑西餐厅,咖啡甜点窗口,饮品/甜点,ALL,晚餐至20:00,甜香|奶香,饮品|甜品,自习|下午茶,素食可选,甜口|奶制品,饮品|甜口,自习|下午茶,素食,甜口|奶制品|饮品|自习|下午茶|素食|甜点,8.0,26.0,2.55,0.69,OPEN
75,W075,19,益民餐厅,家常面食窗口,面食,BREAKFAST,06:00-14:00（早午餐）,家常|咸鲜,面食,家属区|东门外通勤人群,大众友好,家常|咸鲜,面食,家属区|东门外通勤人群,大众,家常|咸鲜|面食|家属区|东门外通勤人群|大众,6.0,18.0,1.5,0.63,OPEN
76,W076,19,益民餐厅,盖饭快餐窗口,盖饭,LUNCH,06:00-14:00（早午餐）,家常|酱香,米饭,家属区|东门外学生,大众友好,家常,米饭,家属区|东门外学生,大众,家常|米饭|家属区|东门外学生|大众|快餐,12.0,24.0,2.12,0.76,OPEN
77,W077,19,益民餐厅,早餐粥饼窗口,早餐,BREAKFAST,06:00-14:00（早午餐）,清淡|咸香,粥|饼,家属|早起学生,清淡友好,清淡|咸鲜,粥|面食,家属|早起学生,清淡,清淡|咸鲜|粥|面食|家属|早起学生|早餐,4.0,12.0,2.62,0.71,OPEN
78,W078,19,益民餐厅,社区小炒窗口,小炒,DINNER,16:00-20:30,家常|咸鲜,米饭,家属|晚归学生,素食可选,家常|咸鲜,米饭,家属|晚归学生,素食,家常|咸鲜|米饭|家属|晚归学生|素食|小炒|社区小炒窗口,12.0,28.0,1.05,0.72,OPEN
79,W079,19,益民餐厅,砂锅米线窗口,砂锅/米线,DINNER,16:00-20:30,鲜香|酸辣可选,米线|粉,南方|云贵川学生,辣度可调,清淡|辣味|酸香,粉面,南方|云贵川学生,辣味|可调辣,清淡|辣味|酸香|粉面|南方|云贵川学生|可调辣|砂锅,12.0,22.0,1.57,0.91,OPEN
